Advertiser,Brand Root,Brand (Major),Brand (Minor),Brand (Leaf),Publisher,Date,Device,Direct/Indirect,Type,First Seen,Last Seen,Creative Text,Link to Creative,Creative ID,Spend (USD),Impressions
"Pharmavite, LLC.",Nature Made,Nature Made,Nature Made,Nature Made,YouTube,1/2/24,YouTube,Direct,Video,10/1/23,4/12/24,"Start your day with nature. May the number one pharmacist, recommended vitamin and supplement brand.",https://s3.amazonaws.com/YM_Ads/ehY-e3QLglNeJqn_47JtdA.mp4,459444958,3803.2339,253540
"Pharmavite, LLC.",Nature Made,Nature Made Gummies,Nature Made Gummies,Nature Made Gummies,YouTube,1/2/24,YouTube,Direct,Video,8/31/23,4/12/24,Start your day with Nature Me. The number one pharmacist recommended vitamin and supplement brand.,https://s3.amazonaws.com/YM_Ads/PvOOi8IpKBqN6RyZ6uer2w.mp4,449086236,2662.2639,177478
"Pharmavite, LLC.",Nature Made,Nature Made Gummies,Nature Made Gummies,Nature Made Gummies,YouTube,1/2/24,YouTube,Direct,Video,1/2/24,3/29/24,"Start your day with nature M, the number one pharmacist recommended vitamin and supplement brand.",https://s3.amazonaws.com/YM_Ads/orskyQvCZgg-HSruXy3aLA.mp4,500266658,380.3234,25354
"Pharmavite, LLC.",Nature Made,Nature Made Gummies,Nature Made Gummies Multi & Omega-3,Nature Made Gummies Multi & Omega-3,YouTube,1/2/24,YouTube,Direct,Video,8/31/23,4/12/24,"Start your day with nature. May the number one pharmacist, recommended vitamin and supplement brand.",https://s3.amazonaws.com/YM_Ads/MnaoiV44YY7OIRUKkl77ng.mp4,449100991,5514.6895,367633
"Pharmavite, LLC.",Nature Made,Nature Made,Nature Made,Nature Made,Facebook,1/3/24,Facebook,Direct,Carousel Post,3/22/23,4/12/24,Get your daily vitamins and supplements delivered right to your door. Save 25% off your first order with code SHOP25.*,https://s3.amazonaws.com/YM_Ads/10159962673059713.png,405230293,377.1959,56214
"Pharmavite, LLC.",Nature Made,Nature Made Gummies,Nature Made Gummies Multi & Omega-3,Nature Made Gummies Multi & Omega-3,Facebook,1/3/24,Facebook,Direct,Video Post,1/3/24,4/1/24,Your morning routine doesn't have to be overwhelming. Take an easy step and start your day with Nature Made.,https://s3.amazonaws.com/YM_Ads/7092920814109481.png,502533302,3017.5671,449712
"Pharmavite, LLC.",Nature Made,Nature Made Gummies,Nature Made Gummies Multi & Omega-3,Nature Made Gummies Multi & Omega-3,Facebook,1/3/24,Facebook,Direct,Video Post,7/5/23,4/1/24,Care for yourself by giving your body the essential nutrients it needs with Nature Made Multi + Omega-3 Gummies.,https://s3.amazonaws.com/YM_Ads/662603805911868.png,433856325,1885.9795,281070
"Pharmavite, LLC.",Nature Made,Nature Made Gummies,Nature Made Gummies Multi & Omega-3,Nature Made Gummies Multi & Omega-3,Facebook,1/3/24,Facebook,Direct,Video Post,1/3/24,4/1/24,"Add some goodness to your routine that's easy as 1,2,3, with Nature Made. # EasyStart ☀️",https://s3.amazonaws.com/YM_Ads/7192408640840542.png,500418393,7166.7222,1068066
"Pharmavite, LLC.",Nature Made,Nature Made Multi Complete,Nature Made Multi Complete,Nature Made Multi Complete,Facebook,1/3/24,Facebook,Direct,Link Post,1/3/24,4/1/24,An easy way to step up your routine is by starting your day with Nature Made. #CheersToThat  ,https://s3.amazonaws.com/YM_Ads/769071665265081.png,500579899,4526.3506,674568
Bayer HealthCare LLC.,One A Day,One A Day Postnatal Complete Multivitamin,One A Day Postnatal Complete Multivitamin,One A Day Postnatal Complete Multivitamin,Instagram,1/3/24,Instagram,Direct,Video Post,7/20/22,4/12/24,"With key post-pregnancy nutrients, NEW One A Day Postnatal Complete Multivitamin helps you get back to feeling like you.",https://s3.amazonaws.com/YM_Ads/-3675506179107941263.png,350625875,1017.215,155300
"Pharmavite, LLC.",Nature Made,Nature Made,Nature Made,Nature Made,Instagram,1/3/24,Instagram,Direct,Video Post,7/6/23,3/31/24,Care for yourself by giving your body the essential nutrients it needs with Nature Made Multi + Omega-3 Gummies.,https://s3.amazonaws.com/YM_Ads/7016084574441240305.png,434099747,3458.5308,528020
"Pharmavite, LLC.",Nature Made,Nature Made Gummies,Nature Made Gummies,Nature Made Gummies,Instagram,1/3/24,Instagram,Direct,Photo Post,6/10/23,4/12/24,Get your daily vitamins and supplements delivered right to your door. Save 25% off your first order with code SHOP25.**Not including shipping or taxes. See website for details.,https://s3.amazonaws.com/YM_Ads/8890432080006999123.png,427295361,203.443,31060
"Pharmavite, LLC.",Nature Made,Nature Made Gummies,Nature Made Gummies Multi & Omega-3,Nature Made Gummies Multi & Omega-3,Instagram,1/3/24,Instagram,Direct,Video Post,1/3/24,4/1/24,Your morning routine doesn't have to be overwhelming. Take an easy step and start your day with Nature Made.,https://s3.amazonaws.com/YM_Ads/-8777878388057093315.png,501207364,406.886,62120
"Pharmavite, LLC.",Nature Made,Nature Made Gummies,Nature Made Gummies Multi & Omega-3,Nature Made Gummies Multi & Omega-3,Instagram,1/3/24,Instagram,Direct,Video Post,1/3/24,4/1/24,"Add some goodness to your routine that's easy as 1,2,3, with Nature Made. #EasyStart☀️",https://s3.amazonaws.com/YM_Ads/4717018826077435101.png,501198318,13630.6807,2081020
"Pharmavite, LLC.",Nature Made,Nature Made Multi Complete,Nature Made Multi Complete,Nature Made Multi Complete,Instagram,1/3/24,Instagram,Direct,Photo Post,1/3/24,4/1/24,An easy way to step up your routine is by starting your day with Nature Made. #CheersToThat  ,https://s3.amazonaws.com/YM_Ads/8054668500816424068.png,501199623,1424.101,217420
"Pharmavite, LLC.",Nature Made,Nature Made,Nature Made,Nature Made,OTT Streaming Services (General),1/3/24,OTT,Direct,Video,10/1/23,4/12/24,"Start your day with nature. May the number one pharmacist, recommended vitamin and supplement brand.",https://s3.amazonaws.com/YM_Ads/ehY-e3QLglNeJqn_47JtdA.mp4,459444958,12094.0479,483760
